1000018,563;3,7401;0,04545
746474,1875;3,93294;0,61197
557229,8125;4,15966;1,11706
415955,3125;4,43256;1,59431
310505,125;4,73273;2,07355
231786,2969;5,08272;2,60761
173016,25;5,49052;3,21106
129156,7656;5,99962;3,90044
96412,92969;6,6184;4,70183
71964,07031;7,39086;5,62378
53722,53906;8,35483;6,65997
40101,69141;9,56884;7,81968
29932,45508;11,05;9,04555
22342,63672;12,81301;10,35082
16682,75195;14,9481;11,65567
12451,75293;17,42893;12,87436
9297,14746;20,27057;13,95043
6940,69287;23,20621;14,78116
5179,75537;26,61374;15,28397
3866,24048;29,83101;15,65602
2885,92285;33,0455;15,59149
2154,31299;36,2227;15,45247
1608,45374;39,2729;15,17152
1200,38538;42,25855;14,74409
896,43152;45,06902;14,26358
668,9295;47,87124;13,6136
499,20157;50,51854;12,9637
372,73392;52,96095;12,25372
278,30823;55,21533;11,39012
207,67375;57,22951;10,59632
155,04956;59,20937;9,75358
115,7783;60,88597;8,78848
86,41035;62,32904;7,81935
64,48411;63,49405;6,90896
48,13619;64,28706;6,0836
35,93132;64,78185;5,7029
26,82865;65,20711;5,48811
20,03208;65,15961;5,85606
14,94736;65,30633;6,63477
11,16075;65,53068;8,06033
8,32886;65,85658;9,96521
6,22015;66,4489;12,8732
4,64201;67,69051;16,40774
3,46452;68,80325;21,0258
2,58649;70,73666;26,70938
1,93116;73,83451;33,72203
1,44196;77,43075;42,56916
1,07625;81,69238;53,62751
0,80301;88,63194;67,48837
0,59935;95,67879;83,40579
0,4473;106,20795;102,49797
0,33422;117,88976;127,61477
0,24929;133,22055;157,75858
0,18612;151,34497;194,4471
0,13903;175,45831;239,79283
0,10376;208,026;295,3808
0,07746;252,90103;362,47296
0,05781;313,84448;440,35239
0,04316;395,25726;525,90796
0,03222;501,13602;617,51923
0,02404;633,17108;707,68909
0,01794;791,00214;787,65405
0,0134;968,37085;852,612
0,01;1160,30896;896,52997
